text,label
__user__ o cara vive em outro mundo não no mundo real refugiados são os que vivem nas favelas vizinhas as suas fortalezas,hatebr_hate
__user__ estes incompetentes não cuidam nem do povo brasileiro e nem dos poucos refugiados que aqui estão.,hatebr_nonhate
__user__ os 'cumpanhero' quebraram todas as regras.,hatebr_nonhate
__user__ é isso não conseguem pensar no sentido lato para além do que se vê a frente dos olhos,hatebr_nonhate
__user__ bom dia macaco branco haha,hatebr_hate
__user__ imagino... ow mandei fazer um body opressor pra duda! hahahaha,hatebr_nonhate
__user__ parabéns brou! menina é bom demais!,hatebr_nonhate
"__user__ parabéns irmão, saúde e #paz. amém.",hatebr_nonhate
"__user__ ah, convivendo apenas comigo esse fds... precisava disso... pensando em mtas coisas e trabalhando no meio disso rs.",hatebr_nonhate
__user__ e o sono... rs. cheiros. tb adorei!,hatebr_nonhate
"__user__ oww, linda.. trabalho amanhã =/ dó",hatebr_nonhate
"__user__ que baummm hein, tem coisa mais gostosa? eu ando reflexiva.. mas, enmm paz. tb mto bom!",hatebr_nonhate
"__user__ sou nada, faço o básico hahaha",hatebr_nonhate
"__user__ taí, sou ótima com sobremesas, doces, bolos...",hatebr_nonhate
"__user__ não deixe as lembranças e saudades te minarem. enfrente, ouça músicas.. (essa é linda msm). conhece the corrs?",hatebr_nonhate
"__user__ ouvindo a música preciso de vc.. excelente, linda! foda, pq tô separando. pqp...",hatebr_nonhate
__user__ cedemos ao encanto e caímos de boca meu caro!,hatebr_nonhate
__user__ perfume pra mão jovem amante.....pra mão. cappice?,hatebr_hate
__user__ 'estimo que se foda' será mais profissional.,hatebr_hate
__user__ bom dia sapatao da minha vida,hatebr_hate
__user__ falei isso desde ontem ..kkkk __url__,hatebr_nonhate
"__user__ __user__ isso n ta errado, mas épesquisa de gente burra, a mulher trabalha menos que o homem",hatebr_hate
__user__ __user__ e que tal uma linha de bonés?? __url__,hatebr_nonhate
[9/3 09:11] jhu : bom viado mais lindo [9/3 09:11] dj luizinho: bom dia sapatão mais gostoza,hatebr_hate
[enem] questão 1: oooooooooooooooooooooooooooooooooooooooooooooo ( ) sometimes ( ) vida de gado ( ) ana julia ( ) pa gangnam style,hatebr_nonhate
"[extra] imagine se fosse um branco fazendo isso com um muçulmano, seria notícia no país inteiro __url__",hatebr_hate
[extraoficial] o terrorista do louvre é um egípcio de 29 anos que chegou na frança mês passado. equipe. __url__,hatebr_nonhate
[futebol] escolinha da adc santana adc é pedreira na copa rio branco em amparo __url__,hatebr_nonhate
18:40] max: vai tomar no teu cu então 18:40] max: sua gorda feia 18:40] max :meu amor por você 18:41] leticia: eu sou gorda maxwell?,hatebr_hate
ê lá em casa __url__,hatebr_nonhate
__user__ __user__ deixa eu adivinhar...péssima relação com o pai? gorda feia sequer assediada por alguém?acho que os dois hein...,hatebr_hate
aaaaaaa eu quero falar no meu trabalho sobre refugiados mas não sei se vou conseguir,hatebr_nonhate
"aaaaaa turma de 9 homens e eu, o prof fala de cabo sapatão (conector femea femea) e todo mundo olha pra mim",hatebr_hate
a afronta aos portugueses não pára! __url__ #pnr #portugal #imigração __url__,hatebr_nonhate
